"Price","Beds","Lon","Lat"
197.5,"2",-3.03976,53.4928
109.95,"2",-2.89031,53.4967
130,"2",-2.841036,53.36995
79.95,"2",-2.8558,53.35615
129.995,"2",-3.04251,53.4814
119.95,"2",-3.01752,53.487
98,"2",-3.04278,53.4847
115,"2",-3.03985,53.483
80,"2",-2.89516,53.4974
100,"2",-2.829908,53.357304
139.95,"2",-3.03469,53.4853
59.995,"2",-2.94393,53.4152
55,"2",-2.93424,53.4304
109.95,"2",-2.9445,53.4106
99.999,"2",-2.9832828,53.401695
45,"2",-2.94004,53.4235
200,"2",-2.99514,53.408
1200,"2",-2.94109,53.4145
185,"2",-2.9596,53.3857
179.95,"2",-2.9585,53.3854
175,"2",-2.9585,53.3854
160,"2",-2.9585,53.3854
75,"2",-2.90992,53.4121
85,"2",-2.91691,53.4168
129.95,"2",-2.98558,53.4114
65,"2",-2.94158,53.401
85.5,"2",-2.90992,53.4121
288,"2",-2.99436,53.4066
130,"2",-2.96699,53.411
85,"2",-2.98432,53.4118
65,"2",-2.97497,53.4328
184.95,"2",-2.97393,53.4007
60,"2",-2.97588,53.4404
157,"2",-2.98348,53.391
64,"2",-2.92747,53.3991
189.95,"2",-2.9585,53.3854
310,"2",-2.98598,53.4136
134.95,"2",-2.98924,53.3985
175,"2",-2.99979,53.4143
250,"2",-2.94959,53.387
90,"2",-2.869583,53.4213
94,"2",-2.98475,53.4268
220,"2",-2.99283,53.4089
169.5,"2",-2.98567,53.3893
288.34,"2",-2.98553,53.3989
134.95,"2",-2.98161,53.4427
275,"2",-2.99954,53.4109
215.5,"2",-2.99172,53.4062
199.5,"2",-2.98567,53.3893
215.425,"2",-2.99944,53.4172
619,"2",-2.9996,53.4127
148.5,"2",-2.9996,53.4127
195,"2",-2.9956,53.4026
195,"2",-2.9675944,53.39901
68.17,"2",-2.96177,53.4588
145,"2",-2.98595,53.41362
76.95,"2",-2.95224,53.4678
75,"2",-2.9682896,53.44352
114.995,"2",-2.96946,53.38
115,"2",-3.00665,53.46
130,"2",-2.9108486,53.433506
100,"2",-2.9655569,53.383423
190,"2",-2.94592,53.379948
229.95,"2",-2.84399,53.4027
115,"2",-3.01034,53.486
75,"2",-2.930888,53.43098
86,"2",-2.85751,53.3809
210,"2",-2.9690402,53.40175
98.5,"2",-2.835115,53.410934
94.5,"2",-2.89939,53.3551
82,"2",-2.9342818,53.397686
77.339,"2",-2.89423,53.3543
150,"2",-2.8976145,53.376194
165,"2",-2.9013216,53.389454
95,"2",-2.9472313,53.40922
89.95,"2",-2.9759169,53.422897
227.5,"2",-2.9900973,53.403034
158,"2",-2.9690402,53.40175
85,"2",-2.9398031,53.4237
75,"2",-3.01789,53.4697
89,"2",-2.85579,53.3562
85,"2",-2.946499,53.409435
159.95,"2",-2.9463553,53.381958
69.95,"2",-2.9283113,53.421875
85,"2",-2.9324806,53.41297
80,"2",-2.947255,53.4096
225,"2",-2.954953,53.39061
60,"2",-2.940107,53.424515
75,"2",-2.947477,53.406055
135,"2",-2.9565454,53.408638
125,"2",-2.971156,53.409454
90,"2",-2.9462662,53.414536
60,"2",-2.9833577,53.43623
182.5,"2",-2.9995172,53.410892
85,"2",-2.9592333,53.409756
95,"2",-2.9620092,53.41211
120,"2",-2.9378152,53.430466
69.95,"2",-2.940107,53.424515
40,"2",-2.9618948,53.425034
50,"2",-2.9405186,53.42543
90,"2",-2.9656208,53.418118
90,"2",-2.9237812,53.401714
90,"2",-2.9183352,53.414925
70,"2",-2.9222608,53.414165
36,"2",-2.9552732,53.42638
85,"2",-2.9270587,53.402344
60,"2",-2.9516633,53.42445
190,"2",-2.9585292,53.375103
89.95,"2",-2.9301972,53.41245
60,"2",-2.9181256,53.408688
260,"2",-2.9997635,53.41434
69.95,"2",-2.9175117,53.407425
95,"2",-2.9235094,53.40235
295,"2",-2.993986,53.400143
68,"2",-2.9271872,53.402027
99.95,"2",-2.9603665,53.40263
120,"2",-2.909891,53.41898
65,"2",-2.9110527,53.412796
155,"2",-2.9482062,53.38473
110,"2",-2.9354358,53.398872
118,"2",-2.9589033,53.40111
68,"2",-2.9692633,53.438683
119,"2",-2.988311,53.428486
68,"2",-2.948811,53.437607
75,"2",-2.9094224,53.413246
70,"2",-2.931645,53.39953
95,"2",-2.9761963,53.419983
190,"2",-2.927297,53.376644
100,"2",-2.951267,53.452526
175,"2",-2.9269958,53.37661
50,"2",-2.930722,53.398586
79,"2",-2.9274397,53.399105
65,"2",-2.9274397,53.399105
80,"2",-2.9737651,53.434765
69.95,"2",-2.9317775,53.398018
59.95,"2",-2.921268,53.414173
80,"2",-2.931938,53.397793
160,"2",-2.9610767,53.400116
75,"2",-2.9108684,53.41614
208,"2",-2.992828,53.40402
109.95,"2",-2.9585674,53.398876
110,"2",-2.9578516,53.398487
115,"2",-2.9578516,53.398487
85,"2",-2.9322228,53.395687
110,"2",-2.9787884,53.435226
189.95,"2",-2.9785647,53.400593
120,"2",-2.9191825,53.399105
99.95,"2",-2.9759169,53.422897
105,"2",-2.9385052,53.399612
195,"2",-2.9653244,53.3984
110,"2",-2.872629,53.37461
200,"2",-2.9164681,53.392464
99.95,"2",-2.9351625,53.400814
149.95,"2",-2.9813128,53.401054
99.95,"2",-2.9163568,53.41388
60,"2",-2.9227767,53.402557
95,"2",-2.9030294,53.42892
125,"2",-2.9679675,53.37835
105,"2",-2.9603665,53.40263
80,"2",-2.9237578,53.402027
200,"2",-2.9162228,53.427235
69.995,"2",-2.9215016,53.404114
140,"2",-2.914967,53.41572
57.5,"2",-2.9419136,53.40139
270,"2",-2.9340699,53.37496
85,"2",-2.934364,53.392517
127.5,"2",-2.9717786,53.40971
55,"2",-2.9409828,53.396706
105,"2",-2.9673567,53.428307
130,"2",-2.9111977,53.398457
130,"2",-2.956935,53.393154
190,"2",-2.905056,53.40246
108,"2",-2.9876237,53.422207
125,"2",-2.9855113,53.40896
190,"2",-2.9067035,53.419804
90,"2",-2.946108,53.390472
112,"2",-2.9716794,53.406017
185,"2",-2.962586,53.399006
120,"2",-2.9787884,53.435226
65,"2",-2.9390578,53.45132
55,"2",-2.9642847,53.44285
225,"2",-2.9777658,53.399853
179.95,"2",-2.9784665,53.40024
50,"2",-2.969205,53.4414
92,"2",-2.9277735,53.39095
80,"2",-2.9277735,53.39095
72.5,"2",-2.9110506,53.4148
75,"2",-2.932556,53.39716
109.95,"2",-2.9907713,53.41196
199.95,"2",-2.9690402,53.40175
79.95,"2",-2.9681292,53.431835
135,"2",-2.9884796,53.409813
79.95,"2",-2.9070506,53.41349
110,"2",-2.9585674,53.398876
225,"2",-2.9869235,53.397827
104.95,"2",-2.9249141,53.401245
45,"2",-2.985889,53.431786
